sample_name	adiponectin	altitude	anonymized_name	b_cell_function_measure	body_habitat	body_product	body_site	body_weight	cd11c	collection_date	country	depth	description	diet	dioii	dna_extracted	elevation	env_biome	env_feature	excitatory_synapses	f480	fat_free_mass	fat_mass	fluid	glucose	host_common_name	host_subject_id	host_taxid	il10	inhibitory_synapses	inos	insulin	insulin_resistance	insulin_sensitivity	latitude	leptin	longitude	pai1	percent_body_fat	percent_fat_free_mass	physical_specimen_remaining	project_name	public	qiita_study_id	rect_temp	resp_quotient	saa3	sample_type	slc25a	t3	t4	title	tnfa	total_ee	total_number_of_synapses	treatment
107.CM01	44.03	0	sample01	154.5	UBERON:feces	UBERON:feces	UBERON:feces	30.6	0.6	11/8/11	GAZ:United States of America	0	The gut microbiome of weight reduced and ad lib DIO and control mice	DIO	0.03	true	35.11	ENVO:animal-associated habitat	ENVO:animal-associated habitat	6.73	1.52	19.16	5.38	2.41	102.5	mouse	CM01	10090	1.03	16.57	1.26	0.9	2.96	33.8	40.78	17.47	-73.97	0.73	17.59	62.63	false	ravussin_koren_columbia_mice	false	107	34.8	0.73	0.08	XXQIITAXX	0.85	72.86	45.06	Leptin levels correlate with the composition of gut microbial communities	1.51	10.6	23.29	Weight Reduced
107.CM02	44.16	0	sample09	200.6	UBERON:feces	UBERON:feces	UBERON:feces	52	1.86	11/8/11	GAZ:United States of America	0	The gut microbiome of weight reduced and ad lib DIO and control mice	DIO	1.26	true	35.11	ENVO:animal-associated habitat	ENVO:animal-associated habitat		1.31	21.8	22.28	4.1	135.25	mouse	CM02	10090	1.07		1.23	2.58	8.33	12	40.78	180.95	-73.97	2.44	42.85	41.91	false	ravussin_koren_columbia_mice	false	107	35.3	0.74	1.62	XXQIITAXX	1.07	13.6	33.96	Leptin levels correlate with the composition of gut microbial communities	1.3	13.8		Ad Lib
107.CM03	39.17	0	sample02	133.3	UBERON:feces	UBERON:feces	UBERON:feces	29.3	1.01	11/8/11	GAZ:United States of America	0	The gut microbiome of weight reduced and ad lib DIO and control mice	DIO	0.25	true	35.11	ENVO:animal-associated habitat	ENVO:animal-associated habitat	4.18	0.81	18.54	4.48	2.31	115	mouse	CM03	10090	0.72	14.22	0.75	1	3.33	30	40.78	19.06	-73.97	0.98	15.28	63.28	false	ravussin_koren_columbia_mice	false	107	34.6	0.75	0.1	XXQIITAXX	1.14	7.76	45.12	Leptin levels correlate with the composition of gut microbial communities	1.82	10.23	18.4	Weight Reduced
107.CM04	23.55	0	sample03	280.7	UBERON:feces	UBERON:feces	UBERON:feces	36.1	0.53	11/8/11	GAZ:United States of America	0	The gut microbiome of weight reduced and ad lib DIO and control mice	DIO	0.05	true	35.11	ENVO:animal-associated habitat	ENVO:animal-associated habitat	5.33	0.94	20.23	9.01	2.84	91.25	mouse	CM04	10090	2.45	13.73	0.77	1.57	4.83	20.7	40.78	35.87	-73.97	2.59	24.97	56.05	false	ravussin_koren_columbia_mice	false	107	35.5	0.73	2.24	XXQIITAXX	1.01	15.3	57.87	Leptin levels correlate with the composition of gut microbial communities	1.17	11.7	19.06	Weight Reduced
107.CM05	28.33	0	sample10	472.9	UBERON:feces	UBERON:feces	UBERON:feces	52.9	1.14	11/8/11	GAZ:United States of America	0	The gut microbiome of weight reduced and ad lib DIO and control mice	DIO	1.39	true	35.11	ENVO:animal-associated habitat	ENVO:animal-associated habitat	12.11	0.92	25.15	19.64	4.17	128.25	mouse	CM05	10090	0.56	14.33	1.73	7.44	20	5	40.78	112.28	-73.97	1.97	37.13	47.55	false	ravussin_koren_columbia_mice	false	107	36.4	0.71	3.83	XXQIITAXX	1.55	33.46	52.03	Leptin levels correlate with the composition of gut microbial communities	0.62	16.06	26.44	Ad Lib
107.CM06	60.21	0	sample04	92.5	UBERON:feces	UBERON:feces	UBERON:feces	32.4	1.31	11/8/11	GAZ:United States of America	0	The gut microbiome of weight reduced and ad lib DIO and control mice	DIO	0.04	true	35.11	ENVO:animal-associated habitat	ENVO:animal-associated habitat	5.71	1.1	19.75	6.31	2.55	116.25	mouse	CM06	10090	1.19	6.86	0.8	0.61	2.09	47.9	40.78	19.66	-73.97	0.79	19.48	60.97	false	ravussin_koren_columbia_mice	false	107	34.8	0.77	0.28	XXQIITAXX	1.15	18.08	48.43	Leptin levels correlate with the composition of gut microbial communities	1.96	9.95	12.57	Weight Reduced
107.CM07	11.84	0	sample05	301.9	UBERON:feces	UBERON:feces	UBERON:feces	33.9	0.68	11/8/11	GAZ:United States of America	0	The gut microbiome of weight reduced and ad lib DIO and control mice	DIO	0.04	true	35.11	ENVO:animal-associated habitat	ENVO:animal-associated habitat	4.28	0.94	19.93	7.56	2.67	105.75	mouse	CM07	10090	1.31	16.35	0.77	2.56	7.81	12.8	40.78	29.45	-73.97	1.03	22.3	58.78	false	ravussin_koren_columbia_mice	false	107	34.5	0.7	0.51	XXQIITAXX	1.12	16.88	45.54	Leptin levels correlate with the composition of gut microbial communities	1.51	11.35	20.63	Weight Reduced
107.CM08	25.06	0	sample06	245.9	UBERON:feces	UBERON:feces	UBERON:feces	37.4	0.83	11/8/11	GAZ:United States of America	0	The gut microbiome of weight reduced and ad lib DIO and control mice	DIO	0.04	true	35.11	ENVO:animal-associated habitat	ENVO:animal-associated habitat	10.65	1.05	21.54	8.52	2.95	105.25	mouse	CM08	10090	2.26	19.54	0.48	1.89	5.95	16.8	40.78	31.29	-73.97	0.62	22.78	57.59	false	ravussin_koren_columbia_mice	false	107	35.5	0.73	1.13	XXQIITAXX	0.66	20.56	59.63	Leptin levels correlate with the composition of gut microbial communities	2.34	10.91	30.19	Weight Reduced
107.CM09	12.73	0	sample07	232.9	UBERON:feces	UBERON:feces	UBERON:feces	33.1	0.89	11/8/11	GAZ:United States of America	0	The gut microbiome of weight reduced and ad lib DIO and control mice	DIO	0.02	true	35.11	ENVO:animal-associated habitat	ENVO:animal-associated habitat	5.54	0.85	19.82	6.85	2.61	107.5	mouse	CM09	10090	1.77	16.89	0.72	1.84	5.85	17.1	40.78	14.78	-73.97	1.65	20.69	59.87	false	ravussin_koren_columbia_mice	false	107	35.1	0.75	0.33	XXQIITAXX	1.16	16.44	49.62	Leptin levels correlate with the composition of gut microbial communities	1.69	11.58	22.43	Weight Reduced
107.CM10	31.19	0	sample11	222.5	UBERON:feces	UBERON:feces	UBERON:feces	48.9	0.86	11/8/11	GAZ:United States of America	0	The gut microbiome of weight reduced and ad lib DIO and control mice	DIO	0.14	true	35.11	ENVO:animal-associated habitat	ENVO:animal-associated habitat	2.19	1.25	22.08	18.99	3.85	119.75	mouse	CM10	10090	1.3	13.63	1.04	2.25	7.19	13.9	40.78	75.23	-73.97	1.3	38.84	45.15	false	ravussin_koren_columbia_mice	false	107	35.3	0.75	1.05	XXQIITAXX	0.87	38.9	56.13	Leptin levels correlate with the composition of gut microbial communities	2.22	13.93	15.82	Ad Lib
